Title,Citation Count,Abstract,PDF Link,Link,Author names,Author Names With Google Scholar,Snippet,ID
Genome-wide and single-base resolution DNA methylomes of the Pacific oyster Crassostrea gigas provide insight into the evolution of invertebrate CpG methylation,132,"Studies of DNA methylomes in a wide range of eukaryotes have revealed both conserved and divergent characteristics of DNA methylation among phylogenetic groups. However, data on invertebrates particularly molluscs are limited, which hinders our understanding of the evolution of DNA methylation in metazoa. The sequencing of the Pacific oyster Crassostrea gigas genome provides an opportunity for genome-wide profiling of DNA methylation in this model mollusc. Homologous searches against the C. gigas genome identified functional orthologs for key genes involved in DNA methylation: DNMT1, DNMT2, DNMT3, MBD2/3 and UHRF1. Whole-genome bisulfite sequencing (BS-seq) of the oyster’s mantle tissues revealed that more than 99% methylation modification was restricted to cytosines in CpG context and methylated CpGs accumulated in the bodies of genes that were moderately expressed. Young repeat elements were another major targets of CpG methylation in oysters. Comparison with other invertebrate methylomes suggested that the 5’-end bias of gene body methylation and the negative correlation between gene body methylation and gene length were the derived features probably limited to the insect lineage. Interestingly, phylostratigraphic analysis showed that CpG methylation preferentially targeted genes originating in the common ancestor of eukaryotes rather than the oldest genes originating in the common ancestor of cellular organisms. Comparative analysis of the oyster DNA methylomes and that of other animal species revealed that the characteristics of DNA methylation were generally conserved during invertebrate evolution, while some unique features were derived in the insect lineage. The preference of methylation modification on genes originating in the eukaryotic ancestor rather than the oldest genes is unexpected, probably implying that the emergence of methylation regulation in these 'relatively young’ genes was critical for the origin and radiation of eukaryotes.",https://link.springer.com/content/pdf/10.1186/1471-2164-15-1119.pdf,https://link.springer.com/article/10.1186/1471-2164-15-1119,"Q Li, F Xu","Q Li:https://scholar.google.com/citations?user=OvlnmcAAAAAJ&hl=en&num=20&oi=sra
F Xu:https://scholar.google.com/citations?user=kL9LrxMAAAAJ&hl=en&num=20&oi=sra",… of the evolution of DNA methylation in metazoa. The sequencing of the Pacific … Crassostrea gigas genome provides an opportunity for genome-wide profiling of DNA methylation …,bqGatthPeM4J
Genome-wide profiling of DNA methylation and gene expression in Crassostrea gigas male gametes,98,"DNA methylation patterns and functions are variable across invertebrate taxa. In order to provide a better understanding of DNA methylation in the Pacific oyster (Crassostrea gigas), we characterized the genome-wide DNA methylation profile in male gamete cells using whole-genome bisulfite sequencing. RNA-Seq analysis was performed to examine the relationship between DNA methylation and transcript expression. Methylation status of over 7.6 million CpG dinucleotides was described with a majority of methylated regions occurring among intragenic regions. Overall, 15% of the CpG dinucleotides were determined to be methylated and the mitochondrial genome lacked DNA methylation. Integrative analysis of DNA methylation and RNA-Seq data revealed a positive association between methylation status, both in gene bodies and putative promoter regions, and expression. This study provides a comprehensive characterization of the distribution of DNA methylation in the oyster male gamete tissue and suggests that DNA methylation is involved in gene regulatory activity.",https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2014.00224/pdf,https://www.frontiersin.org/articles/10.3389/fphys.2014.00224/full,"CE Olson, SB Roberts","CE Olson:https://scholar.google.com/citations?user=tKuF4OsAAAAJ&hl=en&num=20&oi=sra
SB Roberts:https://scholar.google.com/citations?user=aAoYWVUAAAAJ&hl=en&num=20&oi=sra","… DNA methylation patterns and functions are variable across invertebrate … DNA methylation in the Pacific oyster (Crassostrea gigas), we characterized the genome-wide DNA methylation …",bV0S_8bpVVcJ
DNA methylation patterns provide insight into epigenetic regulation in the Pacific oyster (Crassostrea gigas),206,"DNA methylation is an epigenetic mechanism with important regulatory functions in animals. While the mechanism itself is evolutionarily ancient, the distribution and function of DNA methylation is diverse both within and among phylogenetic groups. Although DNA methylation has been well studied in mammals, there are limited data on invertebrates, particularly molluscs. Here we characterize the distribution and investigate potential functions of DNA methylation in the Pacific oyster (Crassostrea gigas). Methylation sensitive PCR and bisulfite sequencing PCR approaches were used to identify CpG methylation in C. gigas genes and demonstrated that this species possesses intragenic methylation. In silico analysis of CpGo/e ratios in publicly available sequence data suggests that DNA methylation is a common feature of the C. gigas genome, and that specific functional categories of genes have significantly different levels of methylation. The Pacific oyster genome displays intragenic DNA methylation and contains genes necessary for DNA methylation in animals. Results of this investigation suggest that DNA methylation has regulatory functions in Crassostrea gigas, particularly in gene families that have inducible expression, including those involved in stress and environmental responses.",https://link.springer.com/content/pdf/10.1186/1471-2164-11-483.pdf,https://link.springer.com/article/10.1186/1471-2164-11-483,"MR Gavery, SB Roberts","MR Gavery:https://scholar.google.com/citations?user=qQir0WEAAAAJ&hl=en&num=20&oi=sra
SB Roberts:https://scholar.google.com/citations?user=aAoYWVUAAAAJ&hl=en&num=20&oi=sra","… displays intragenic DNA methylation and contains genes necessary for DNA methylation in … investigation suggest that DNA methylation has regulatory functions in Crassostrea gigas, …",a0g5QZfzal4J
Genome-wide DNA methylation profile changes associated with shell colouration in the Yesso scallop (Patinopecten yessoensis) as measured by whole-genome …,13,,https://link.springer.com/content/pdf/10.1186/s12864-021-08055-6.pdf,https://link.springer.com/article/10.1186/s12864-021-08055-6,,,"… DNA methylation; however, most have focused on oysters. For example, global DNA methylation … in the Pacific oyster Crassostrea gigas indicated that DNA methylation plays a complex …",IFpbbsE8JDcJ
"Comparative Methylome Analysis Reveals Epigenetic Signatures Associated with Growth and Shell Color in the Pacific Oyster, Crassostrea gigas",8,,,https://link.springer.com/article/10.1007/s10126-022-10154-8,,,"… We first developed genome-wide DNA methylation profiles for the two strains, then … DNA methylome and transcriptome was performed to explore the regulatory role of DNA methylation …",gZSTjRJeqEEJ
DNA methylation mediates differentiation in thermal responses of Pacific oyster (Crassostrea gigas) derived from different tidal levels,71,"Epigenetic mechanisms such as DNA methylation have the potential to affect organism acclimatization and adaptation to environmental changes by influencing their phenotypic plasticity; however, little is known about the role of methylation in the adaptive phenotypic divergence of marine invertebrates. Therefore, in this study, a typical intertidal species, the Pacific oyster (Crassostrea gigas), was selected to investigate the epigenetic mechanism of phenotypic plasticity in marine invertebrates. Intertidal and subtidal oysters subjected to one-generation common garden experiments and exhibited phenotypic divergence were used. The methylation landscape of both groups of oysters was investigated under temperate and high temperature. The two tidal oysters exhibited divergent methylation patterns, regardless of the temperature, which was mainly original environment-induced. Intertidal samples exhibited significant hypomethylation and more plasticity of methylation in response to heat shock, while subtidal samples showed hypermethylation and less plasticity. Combined with RNA-seq data, a positive relationship between methylation and expression in gene bodies was detected on a genome-wide scale. In addition, approximately 11% and 7% of differentially expressed genes showed significant methylation variation under high temperatures in intertidal and subtidal samples, respectively. Genes related to apoptosis and organism development may be regulated by methylation in response to high temperature in intertidal oysters, whereas oxidation-reduction and ion homeostasis-related genes were involved in subtidal oysters. The results also suggest that DNA methylation mediates phenotypic divergence in oysters adapting to different environments. This study provides new insight into the epigenetic mechanisms underlying phenotypic plasticity in adaptation to rapid climate change in marine organisms.",https://pmc.ncbi.nlm.nih.gov/articles/PMC7852555/pdf/41437_2020_Article_351.pdf,https://www.nature.com/articles/s41437-020-0351-7,,,… To compare plasticity of DNA methylation in response to … DNA methylation in oysters following heat stress. The magnitude of this shift represents a quantitative measure of genome-wide …,S8rlksNSDAwJ
General DNA Methylation Patterns and Environmentally-Induced Differential Methylation in the Eastern Oyster (Crassostrea virginica),47,"Epigenetic modification, specifically DNA methylation, is one possible mechanism for intergenerational plasticity. Before inheritance of methylation patterns can be characterized, we need a better understanding of how environmental change modifies the parental epigenome. To examine the influence of experimental ocean acidification on eastern oyster (Crassostrea virginica) gonad tissue, oysters were cultured in the laboratory under control (491 ± 49 μatm) or high (2550 ± 211 μatm) pCO2 conditions for four weeks. DNA from reproductive tissue was isolated from five oysters per treatment, then subjected to bisulfite treatment and DNA sequencing. Irrespective of treatment, DNA methylation was primarily found in gene bodies with approximately 22% of the genome predicted to be methylated In response to elevated pCO2 we found 598 differentially methylated loci primarily overlapping with gene bodies. A majority of differentially methylated loci were in exons (61.5%) with less intron overlap (31.9%). While there was though there was no evidence of a significant tendency for the genes with differentially methylated loci to be associated with distinct biological processes, the concentration of these loci in gene bodies, including genes involved in protein ubiquitination and biomineralization suggests DNA methylation may be important for transcriptional control in response to ocean acidification. Understanding how experimental ocean acidification conditions modify the oyster epigenome, and if these modifications are inherited, allows for a better understanding of how ecosystems will respond to environmental change.",https://www.frontiersin.org/journals/marine-science/articles/10.3389/fmars.2020.00225/pdf,https://www.frontiersin.org/journals/marine-science/articles/10.3389/fmars.2020.00225/full,"YR Venkataraman, J Ries","YR Venkataraman:https://scholar.google.com/citations?user=x9WA39wAAAAJ&hl=en&num=20&oi=sra
J Ries:https://scholar.google.com/citations?user=JFVXM1kAAAAJ&hl=en&num=20&oi=sra","… genome-wide DNA methylation when exposed to low pH conditions for 2 years. Changes in the methylome … , did not observe the overall genome-wide increase in methylation that was …",sdw0yiHbLYMJ
"… methylation profiling revealed epigenetic regulation of NF-κB signaling pathway involved in response to Vibrio alginolyticus infection in the Pacific oyster, Crassostrea …",3,,https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=4776034,https://www.sciencedirect.com/science/article/pii/S1050464824003504,"A Mokrani, Q Li","A Mokrani:https://scholar.google.com/citations?user=weCalI8AAAAJ&hl=en&num=20&oi=sra
Q Li:https://scholar.google.com/citations?user=V_uld5gAAAAJ&hl=en&num=20&oi=sra","… mechanism in Pacific oyster (Crassostrea gigas), whole-… Integrated transcriptome and methylome analyses allowed … BIRC2) which were regulated by DNA methylation in response to …",vEZbooS9ih0J
Inference of DNA methylation patterns in molluscs,26,Mollusca are the second largest and arguably most diverse phylum of the animal kingdom. This is in sharp contrast to our very limited knowledge concerning epigenetic mechanisms including DNA methyl...,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2020.0166?download=true,https://royalsocietypublishing.org/doi/abs/10.1098/rstb.2020.0166,"T Schell, P Provataris","T Schell:https://scholar.google.com/citations?user=F6VF2DMAAAAJ&hl=en&num=20&oi=sra
P Provataris:https://scholar.google.com/citations?user=CDmKFyAAAAAJ&hl=en&num=20&oi=sra","… , the DNA methylation machinery has only been studied in a few species (Crassostrea gigas… However, in order to put together a taxonomically comprehensive dataset, we performed de …",QfxNqsfKEAgJ
Epigenetic features in the oyster Crassostrea gigas suggestive of functionally relevant promoter DNA methylation in invertebrates,64,"DNA methylation is evolutionarily conserved. Vertebrates exhibit high, widespread DNA methylation whereas invertebrate genomes are less methylated, predominantly within gene bodies. DNA methylation in invertebrates is associated with transcription level, alternative splicing and genome evolution, but functional outcomes of DNA methylation remain poorly described in lophotrochozoans. Recent genome-wide approaches improve understanding in distant taxa such as molluscs, where the phylogenetic position and life traits of Crassostrea gigas make this bivalve an ideal model to study the physiological and evolutionary implications of DNA methylation. We review the literature about DNA methylation in invertebrates and focus on DNA methylation features in the oyster. Indeed, though our MeDIP-seq results confirm predominant intragenic methylation, the profiles depend on the oyster’s developmental and reproductive stage. We discuss the perspective that oyster DNA methylation could be biased toward the 5’-end of some genes, depending on physiological status, suggesting important functional outcomes of putative promoter methylation from cell differentiation during early development to sustained adaptation of the species to the environment.",https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2014.00129/pdf,https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2014.00129/full,G Rivière,G Rivière:https://scholar.google.com/citations?user=0iXF74wAAAAJ&hl=en&num=20&oi=sra,"… Regardless, we assume that dynamic genome-wide DNA methylation profiles are integrated through the canalization of random interactions with the surrounding molecular machinery …",7OuSH47hTv4J
