"Paper Title","Paper Link","Methods Used"
"Evolutionary History of DNA Methylation Related Genes in Bivalvia: New Insights From Mytilus galloprovincialis","https://scispace.com/papers/evolutionary-history-of-dna-methylation-related-genes-in-1l0jpfzlzx","- tBLASTn searches against *M. galloprovincialis* genome assembly (version mg10) and previously reported sequences from *Lottia gigantea* for homologous sequences. - BLASTP searches against virtually-translated proteomes of available Bivalvia genomes. - Gene annotation verification: translation to protein sequences, pairwise comparison with human queries, and evaluation of conserved domains with InterProScan 5. - CDS validation and error correction using available assembled transcriptomes from *M. galloprovincialis*. - Exon and intron boundary refinement using Splign for alignment between genomic DNA and cDNA sequences. - Multiple Sequence Alignment (MSA) with MUSCLE v.3.8.31. - Removal of highly divergent, phylogenetically uninformative regions with Gblocks v.0.91b. - Identification of best-fitting molecular evolution models using ModelTest-ng. - Bayesian phylogenetic inference using MrBayes v.3.2.1. - In silico gene expression analysis: mapping raw reads from NCBI SRA database to reference genomes using CLC Genomics Workbench v.20, and calculating expression levels as Transcripts Per Million (TPM). - Real-Time Quantitative PCR (qPCR) analyses: RNA extraction, reverse transcription, qPCR with Applied Biosystems ViiA7 384 wells format, amplification efficiency calculation, dissociation curve analysis, and standardization to EF1α using 2-ΔΔCt Livak Method. - Structural comparison of mussel sequences with human and lophotrochozoan species at the protein level using pfam and interpro databases."
"Predominant intragenic methylation is associated with gene expression characteristics in a bivalve mollusc.","https://scispace.com/papers/predominant-intragenic-methylation-is-associated-with-gene-3h4hrhfz97","- Methylation enrichment - High-throughput bisulfite sequencing - Combination of bisulfite sequencing with RNA-seq data"
"Peer Review #1 of ""predominant Intragenic Methylation is Associated with Gene Expression Characteristics in a Bivalve Mollusc (V0.2)""","https://scispace.com/papers/peer-review-1-of-predominant-intragenic-methylation-is-6tetjq8cdh18","- Methylation enrichment combined with high-throughput bisulfite sequencing - Bisulfite sequencing data combined with RNA-seq data - Mapping methylation at over 2.5 million individual CpG loci"
"Mitochondrial epigenetics brings new perspectives on doubly uniparental inheritance in bivalves","https://scispace.com/papers/mitochondrial-epigenetics-brings-new-perspectives-on-doubly-xywzizz6lj24","- Methods based on antibodies - Methods based on enzymatic cleavage - Methylome sequencing"
"Epigenetic features in the oyster Crassostrea gigas suggestive of functionally relevant promoter DNA methylation in invertebrates","https://scispace.com/papers/epigenetic-features-in-the-oyster-crassostrea-gigas-d6ojbhl8r0","- MeDIP-seq (Methylated DNA Immunoprecipitation Sequencing) was used to analyze dynamic changes in exome-wide methylation patterns. - MeDIP-qPCR (Methylated DNA Immunoprecipitation quantitative Polymerase Chain Reaction) was used to investigate DNA methylation. - Single-base resolution methylome analysis was performed on adult *C. gigas* gills. - RT-qPCR (Reverse Transcription quantitative Polymerase Chain Reaction) was used to measure mRNA expression."
"DNA methylation patterns provide insight into epigenetic regulation in the Pacific oyster (Crassostrea gigas)","https://scispace.com/papers/dna-methylation-patterns-provide-insight-into-epigenetic-3o1933lumd","- Methylation sensitive PCR - Bisulfite sequencing PCR - In silico analysis of CpGo/e ratios"
"Eastern oyster (Crassostrea virginica) gonad DNA methylation data and analysis","https://scispace.com/papers/eastern-oyster-crassostrea-virginica-gonad-dna-methylation-1x6nai5to0","- No specific DNA methylation analysis methods (e.g., sequencing technologies, analytical approaches) are mentioned in the provided text. - The paper refers to ""DNA methylation patterns"" and ""environmentally-induced differential methylation"". - It states that the associated Github repository and manuscript contain more details."
"Whole-genome DNA methylation profiling revealed epigenetic regulation of NF-κB signaling pathway involved in response to Vibrio alginolyticus infection in the Pacific oyster, Crassostrea gigas","https://scispace.com/papers/whole-genome-dna-methylation-profiling-revealed-epigenetic-10wkl2xr9n","- Whole-genome bisulfite sequencing (WGBS) conducted - Gene Ontology (GO) analysis performed - KEGG pathway analysis performed - Integrated transcriptome and methylome analyses conducted"
"Dynamics of DNA methylomes underlie oyster development.","https://scispace.com/papers/dynamics-of-dna-methylomes-underlie-oyster-development-3vmvztvs4h","The specific DNA methylation analysis methods used in this study are: * **Methyl-DNA immunoprecipitation followed by high throughput sequencing (MeDIP-seq)**: * DNA was sheared to ca. 250 bp fragments using a Covaris S2 sonicator. * Immunoprecipitation of methylated DNA (MeDIP) was performed on 1 µg DNA using the MagMeDIP kit (Diagenode). * MeDIP specificity was assayed at 96.9%. * Immunoprecipitated DNA was amplified using Phusion DNA polymerase. * Libraries were submitted to **2x76 bp paired-end sequencing** using a **GAIIx sequence analyzer (Illumina)**. * This strategy produced ca. 80 million paired-end reads per sample, with a 24.8 ± 3.3-fold mean coverage. * **Data analyses**: * Analyzed using a combination of dedicated **R (bioconductor.org)** and **bash scripts**, as well as in-house R, bash, TiCL, and PERL scripts. * Primary analysis with **RTA (Illumina)**; reads demultiplexed using **CASAVA v.1.8**. * Bases with QC > 30 were retained. * Paired-end reads were mapped to the oyster genome (assembly v.9) using **BWA** with default parameters and pair-sorted. * Reads mapping to genomic features (exons (CDS), introns (INT), promoters (PRO), repeats (REP), and transposable elements (TE)) were counted using **HTseq-count**. * Promoter sequences longer than 100 bp were retained. * **Differentially methylated regions (DMR) analyses**: * Performed using **diffREPs** (negative binomial test). * Analyses were performed on the 2000 longest scaffolds (length > 44 kb). * Comparisons were performed between each stage and the previous one in chronological order. * DMRs were defined as regions of at least 1000 bp displaying at least a 2-fold difference with an exact **T-test** (cut-off: p<0.0001), and only regions with a p-value < 10⁻⁷ were retained. * Functional analyses of DMRs were realized using **TopGO** based on annotated genes within DMRs. * **Methylation level and dynamics of genomic features and individual feature elements**: * Methylation level estimated as the number of reads corresponding to a designed feature element, per million reads (cpm) using **EdgeR**. * In-gene methylation pattern estimated using the INT/CDS methylation counts ratio, after normalization. * Distribution of methylation in features between development stages tested using **Pearson's chi-square test**. * Variations in methylation level of individual feature elements tested using two-tailed exact **Student's T test** (pairwise comparison) and **ANOVA** (across developmental stages) followed by **Bonferroni's post hoc test**. * **MDS-BCV analyses** realized using **EdgeR**. * Methylome landscapes plotted for significantly differentially methylated feature elements using log transformed and normalized values. * TEs and genes with significantly differentially methylated exons or introns were clustered using **K-means clustering**."
"Differential DNA methylation in Pacific oyster reproductive tissue in response to ocean acidification","https://scispace.com/papers/differential-dna-methylation-in-pacific-oyster-reproductive-17cysj5e","- Whole genome bisulfite sequencing (WGBS) was used to identify methylated regions in female oyster gonad samples. - C->T single nucleotide polymorphisms (SNPs) were identified and removed to ensure accurate methylation characterization. - DNA was extracted from histology blocks of gonad tissue using PAXgene Tissue DNA Kit. - Bisulfite conversion was performed with the Zymo-Seq WGBS Library Kit. - Samples were spiked with synthetic amplicons from *Escherichia coli* K12 genome to determine bisulfite conversion efficiency. - Libraries were barcoded and pooled for 150bp paired-end reads on an Illumina NovaSeq flowcell. - Reads were trimmed using TrimGalore! v.0.6.6. - Trimmed samples were aligned to the combined nuclear and mitochondrial genomes of *C. gigas* using Bismark v.0.22.3. - SNP variants were identified with BS-Snper to exclude loci from downstream analyses. - Global methylation patterns were characterized by averaging DNA methylation across samples using loci with at least 5x coverage that did not overlap with C->T SNPs. - Identification of differentially methylated loci (DML) was conducted with methylKit v.1.17.4 in R Version 3.5.3. - Data were filtered for 5x coverage, potential PCR duplicates were removed, and data were normalized. - A logistic regression was used to model the log odds ratio based on the proportion of methylation at each CpG locus, with gonad stage as a covariate. - DML were defined as CpG dinucleotides not overlapping with C->T SNPs, with at least 50% methylation difference between pH treatments, and a q-value <0.01. - The location of DML was characterized in relation to various genome feature tracks (UTR, CDS, introns, flanking regions, transposable elements, intergenic regions) using intersectBed. - Functional enrichment analysis for genes containing DML was performed using topGO v.2.34.0 in R, with GOterm annotations from the Uniprot-Swissprot database."
